City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
466,Japura,ID,-0.3167,102.35,82.18,82,97,2.95,overcast clouds,2022-04-14 02:59:59
467,Lima,PE,-12.0432,-77.0282,62.85,82,0,5.75,clear sky,2022-04-14 02:59:59
468,Richards Bay,ZA,-28.783,32.0377,67.8,82,2,6.31,clear sky,2022-04-14 03:00:00
469,Peleduy,RU,59.6289,112.7406,33.58,95,100,14.36,snow,2022-04-14 03:00:00
470,Caxito,AO,-8.5785,13.6643,73.47,96,100,2.44,overcast clouds,2022-04-14 03:00:02
471,Abu Kamal,SY,34.4506,40.9171,53.1,23,56,4.76,broken clouds,2022-04-14 03:00:04
472,Kundla,IN,21.3333,71.3,86.16,32,0,10.02,clear sky,2022-04-14 03:00:05
473,Sakakah,SA,29.9697,40.2064,62.24,30,37,15.82,scattered clouds,2022-04-14 03:00:09
474,Caborca,MX,30.5838,-111.101,63.32,7,18,7.74,few clouds,2022-04-14 03:00:12
475,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,70.92,86,82,5.84,broken clouds,2022-04-14 03:00:13
476,Bolshoye Nagatkino,RU,54.5196,47.9679,40.26,93,100,10.07,overcast clouds,2022-04-14 03:00:14
477,Santa Barbara,US,34.7333,-120.0343,54.82,62,0,9.22,clear sky,2022-04-14 02:57:53
478,Barra Patuca,HN,15.8,-84.2833,79.21,78,2,11.41,clear sky,2022-04-14 03:00:23
479,Hasaki,JP,35.7333,140.8333,52.2,85,100,26.71,overcast clouds,2022-04-14 03:00:24
480,Yavatmal,IN,20.4,78.1333,92.91,27,100,8.55,overcast clouds,2022-04-14 03:00:24
481,Bafq,IR,31.6128,55.4107,73.54,22,21,4.07,few clouds,2022-04-14 03:00:25
482,Jiaocheng,CN,24.6774,116.1389,77.43,51,51,4.18,broken clouds,2022-04-14 03:00:25
483,Lagoa,PT,39.05,-27.9833,58.33,61,0,17.38,clear sky,2022-04-14 03:00:26
484,Wundanyi,KE,-3.4019,38.364,61.83,86,67,3.71,broken clouds,2022-04-14 03:00:26
485,Camacha,PT,33.0833,-16.3333,58.42,77,40,8.05,scattered clouds,2022-04-14 03:00:30
486,Kabwe,ZM,-14.4469,28.4464,61.03,97,65,4.16,broken clouds,2022-04-14 03:00:31
487,Pucallpa,PE,-8.3791,-74.5539,72.54,91,97,2.19,overcast clouds,2022-04-14 03:00:31
