City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Vanimo,PG,87.67,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
247,Mandera,KE,80.38,light rain,3.9366,41.867,Hiren Hotel Mandera
250,Lorengau,PG,86.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
256,Yaan,NG,76.59,overcast clouds,7.3833,8.5667,
259,Bhikhi,IN,89.17,clear sky,30.0667,75.5333,Sidhu’s House
263,Touros,BR,78.35,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
265,Kabo,CF,77.88,overcast clouds,7.6994,18.629,
268,Puerto Escondido,MX,81.7,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
269,Makakilo City,US,80.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
270,Faanui,PF,81.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
276,Itarema,BR,77.09,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
280,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
283,Araouane,ML,81.3,overcast clouds,18.9048,-3.5265,
302,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
309,Harper,LR,76.96,overcast clouds,4.375,-7.7169,Screensaver
310,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
315,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
317,Ternate,ID,84.99,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
321,Santa Isabel Do Rio Negro,BR,75.9,overcast clouds,-0.4139,-65.0192,Hotel GSA
323,Nara,JP,79.97,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
324,Goundam,ML,82.58,overcast clouds,16.4145,-3.6708,
325,Sao Jose Da Coroa Grande,BR,77.77,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
330,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
331,Davila,PH,84.18,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
338,Hue,VN,84.31,few clouds,16.4667,107.6,Saigon Morin Hotel
343,Culaman,PH,84.97,overcast clouds,5.9603,125.6586,Jasmin Ex House
345,Makasar,ID,89.65,few clouds,-5.14,119.4221,Aryaduta Makassar
357,Saravena,CO,75.15,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
358,Celestun,MX,86.0,overcast clouds,20.8667,-90.4,Posada Lilia
360,Mogadishu,SO,81.81,broken clouds,2.0371,45.3438,Hotel Juba
361,Dingle,PH,85.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
365,Gaya,IN,80.51,mist,24.7833,85.0,Hotel Viraat Inn Gaya
369,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
371,Robertsport,LR,78.55,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
376,Victoria,HK,83.03,clear sky,22.2855,114.1577,Mini Hotel Central
385,Nishihara,JP,78.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
388,Sao Gabriel Da Cachoeira,BR,75.04,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
390,La Romana,DO,77.36,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
395,Taoudenni,ML,77.36,clear sky,22.6783,-3.9836,
398,Banda Aceh,ID,85.32,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
403,Mahibadhoo,MV,84.16,overcast clouds,3.7833,72.9667,Omadhoo Inn
406,Clifton Springs,AU,79.77,broken clouds,-38.15,144.5667,Drysdale House Bed & Breakfast
417,Bocas Del Toro,PA,80.31,scattered clouds,9.3333,-82.25,Hotel Bocas del Toro
420,Soc Trang,VN,89.94,overcast clouds,9.6033,105.98,Phu Quy Hotel
422,Vao,NC,76.5,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
